the_geom,sector,reporting_,county,landfill_n,permit_num,cartodb_id,address,city,zip_code,latitude,longitude,tipping_fe
0101000020E610000088BBD6C93BCB54C0C9E0A679FEC94040,Public,2015,Greene,City of Greensboro Inert Landfill,PBR-066-10IL,31,Old Reservoir,Greensboro,30640,33.578081,-83.175522,
0101000020E61000004C770DDE55E354C01EFA5BD44B434140,Public,2015,Habersham,City of Cornelia Inert Landfill,PBR-068-21IL,32,614 Nicolon Dr.,Cornelia,30531,34.525754,-83.552118,
0101000020E6100000323A657072F354C0699D5FCDCD224140,Private,2015,Hall,"Pentee, Inc.-Monroe Drive Inert Landfill",PBR-069-05IL,33,2409 Monroe Dr.,Gainesville,30507,34.271905,-83.803857,
0101000020E61000000C76EF4E86F354C00B9904B192224140,Private,2015,Hall,Crystal Creek Inert Landfill,PBR-069-09IL,34,2393 Monroe Dr.,Gainesville,30507,34.270104,-83.805077,
0101000020E6100000D57150CAEB3355C0C5F7D6342C5F4040,Public,2015,Harris,Harris Co. Inert Landfill,PBR-072-03IL,35,4078 Barnes Mill Rd.,Hamilton,31811,32.743535,-84.81127,
0101000020E610000049CCB8C7E53855C006925CA69C504040,Private,2015,Harris,Jeff D. Macon-Thomas M. Macon Inert Landfill,PBR-072-07IL,36,Highway 27,Cataula,31804,32.629778,-84.889028,
0101000020E6100000F10C1EB0043955C0708EA429AC534040,Private,2015,Harris,"Cataula Inert Disposal, LLC Inert Landfill",PBR-072-10IL,37,285 Acres of Shade Dr.,Cataula,31804,32.653688,-84.890913,
0101000020E61000005884C40C7C9B54C0DA72F7BA698B4040,Private,2015,Jefferson,CR 138 Inert Waste Landfill,PBR-081-05IL,38,1691 Mennonite Church Rd.,Stapleton,30434,33.089167,-82.429444,
0101000020E6100000063F225122C354C052F9EBAA044B4040,Public,2015,Laurens,Laurens Co. Inert Landfill,PBR-087-06IL,39,"Old Macon Road, two miles north of SR 338",Dublin,31021,32.586078,-83.048972,
0101000020E6100000D39FBF54970755C0A5CF98CE28BC3F40,Public,2015,Lee,Lee Co. Board of Commissioners Inert Landfill,PBR-088-01IL,40,110 Starksville Ave. North,Leesburg,31763,31.735,-84.118611,
